n_threads,n_matrix,iteration,checksym_time,transpose_time
8,16,100,0.000478584, 7.9282e-05
16,16,1,0.000794335, 0.000118616
16,16,2,0.000784433, 6.9647e-05
16,16,3,0.00069326, 7.1832e-05
16,16,4,0.000763404, 0.000157808
16,16,5,0.000742377, 7.0187e-05
16,16,6,0.000763947, 0.00010193
16,16,7,0.000774388, 0.000100018
16,16,8,0.000788681, 0.00010187
16,16,9,0.000759659, 8.8171e-05
16,16,10,0.000900418, 8.7507e-05
16,16,11,0.000767564, 0.00011489
16,16,12,0.000755798, 9.5657e-05
16,16,13,0.000780779, 0.00011649
16,16,14,0.000740448, 8.9747e-05
16,16,15,0.000747525, 9.8927e-05
16,16,16,0.000757024, 0.000121792
16,16,17,0.000781561, 9.7827e-05
16,16,18,0.000821965, 0.00012151
16,16,19,0.000777671, 0.000114821
16,16,20,0.000811215, 9.8189e-05
16,16,21,0.000765253, 0.000100167
16,16,22,0.000767524, 0.000102368
16,16,23,0.000752413, 0.000127514
16,16,24,0.00106064, 9.46e-05
16,16,25,0.000751984, 9.157e-05
16,16,26,0.000753617, 8.2617e-05
16,16,27,0.000764315, 9.9691e-05
16,16,28,0.000738668, 0.000101122
16,16,29,0.00104187, 9.0522e-05
16,16,30,0.000746081, 0.000123067
16,16,31,0.00073856, 0.000106706
16,16,32,0.000758702, 7.1456e-05
16,16,33,0.000816274, 0.000128683
16,16,34,0.000773985, 7.6864e-05
16,16,35,0.00074028, 8.33e-05
16,16,36,0.000762156, 0.000130294
16,16,37,0.000783145, 8.8228e-05
16,16,38,0.000782188, 9.7162e-05
16,16,39,0.000766479, 9.0121e-05
16,16,40,0.000764042, 9.3988e-05
16,16,41,0.000824101, 7.2959e-05
16,16,42,0.000809131, 0.000104231
16,16,43,0.000802597, 9.0816e-05
16,16,44,0.000757165, 0.000145765
16,16,45,0.000741929, 6.9939e-05
16,16,46,0.000760267, 7.4979e-05
16,16,47,0.000757605, 9.4995e-05
16,16,48,0.000773998, 9.7794e-05
16,16,49,0.000814051, 9.5909e-05
16,16,50,0.000753765, 6.7688e-05
16,16,51,0.000753586, 0.000104175
16,16,52,0.000763209, 0.000106184
16,16,53,0.000791355, 8.5472e-05
16,16,54,0.000726356, 8.569e-05
16,16,55,0.000742944, 6.3184e-05
16,16,56,0.000793225, 8.1912e-05
16,16,57,0.000779869, 7.0408e-05
16,16,58,0.000767443, 7.307e-05
16,16,59,0.000782474, 6.5729e-05
16,16,60,0.000876264, 0.000103021
16,16,61,0.000754689, 0.000109679
16,16,62,0.000815879, 7.741e-05
16,16,63,0.00066592, 7.5766e-05
16,16,64,0.00076465, 8.161e-05
16,16,65,0.000765358, 0.000118504
16,16,66,0.000746991, 0.000127554
16,16,67,0.000740813, 0.000128942
16,16,68,0.000771131, 7.4119e-05
16,16,69,0.000754519, 0.000139714
16,16,70,0.000762126, 6.2567e-05
16,16,71,0.000760609, 9.5607e-05
16,16,72,0.000759239, 8.8125e-05
16,16,73,0.000727696, 6.9636e-05
16,16,74,0.000819891, 7.3184e-05
16,16,75,0.000753629, 7.5197e-05
16,16,76,0.000764661, 0.000120073
16,16,77,0.000794451, 8.7286e-05
16,16,78,0.000803453, 7.5837e-05
16,16,79,0.000742643, 0.000117058
16,16,80,0.000774124, 7.8889e-05
16,16,81,0.000747917, 9.235e-05
16,16,82,0.000752834, 0.000109478
16,16,83,0.000775647, 7.2878e-05
16,16,84,0.000758104, 7.1263e-05
16,16,85,0.000801334, 6.8578e-05
16,16,86,0.000784553, 6.6695e-05
16,16,87,0.000696722, 7.0822e-05
16,16,88,0.000787819, 9.0623e-05
16,16,89,0.000767143, 7.1434e-05
16,16,90,0.000812666, 8.9569e-05
16,16,91,0.000756853, 8.4853e-05
16,16,92,0.00071066, 0.000104126
16,16,93,0.0007443, 0.000105256
16,16,94,0.000770781, 9.941e-05
16,16,95,0.000749684, 9.466e-05
16,16,96,0.000766382, 0.000117402
16,16,97,0.000752759, 0.000117436
16,16,98,0.000735984, 0.000113553
16,16,99,0.000777662, 8.9306e-05
16,16,100,0.000756035, 0.000109713
32,16,1,0.0014634, 0.00010522
32,16,2,0.00136359, 0.000170102
32,16,3,0.00152037, 0.00015671
32,16,4,0.00124204, 0.000109008
32,16,5,0.00141957, 0.00014168
32,16,6,0.00143981, 8.9845e-05
32,16,7,0.00151676, 0.000139942
32,16,8,0.00144442, 0.000100728
32,16,9,0.0013891, 0.000113052
32,16,10,0.0013667, 0.000190173
32,16,11,0.00138591, 0.000122969
32,16,12,0.00141579, 0.000144276
32,16,13,0.00138882, 0.000196189
32,16,14,0.001387, 9.3094e-05
32,16,15,0.0014176, 0.000195894
32,16,16,0.00140456, 0.000101193
32,16,17,0.00136852, 0.000137193
32,16,18,0.00131873, 0.000170034
32,16,19,0.00135781, 0.000106484
32,16,20,0.00132071, 0.000178456
32,16,21,0.00148111, 0.000229193
32,16,22,0.00141413, 0.000171835
32,16,23,0.00137854, 0.000157801
32,16,24,0.00149917, 0.000171366
32,16,25,0.00133009, 0.000152666
32,16,26,0.00154719, 0.000160869
32,16,27,0.00137687, 0.000172608
32,16,28,0.00139451, 0.000161812
32,16,29,0.00137523, 0.000175625
32,16,30,0.00136451, 0.000151291
32,16,31,0.00135428, 0.000177382
32,16,32,0.00135081, 0.000105784
32,16,33,0.00137724, 9.8487e-05
32,16,34,0.00160255, 0.000155726
32,16,35,0.0014783, 0.000162284
32,16,36,0.00131875, 0.000154445
32,16,37,0.00136684, 0.000108242
32,16,38,0.0015075, 0.000173118
32,16,39,0.00140632, 0.000156428
32,16,40,0.00137961, 0.000127233
32,16,41,0.00136807, 9.2134e-05
32,16,42,0.00135578, 0.000107328
32,16,43,0.00135188, 0.000106508
32,16,44,0.00117927, 9.807e-05
32,16,45,0.00145248, 0.000157961
32,16,46,0.00137437, 0.000178382
32,16,47,0.00140824, 9.1277e-05
32,16,48,0.0014817, 0.000164207
32,16,49,0.00138594, 9.8776e-05
32,16,50,0.00139416, 0.000169008
32,16,51,0.00169833, 0.000171642
32,16,52,0.00145286, 0.00014151
32,16,53,0.00128942, 0.000183884
32,16,54,0.00143699, 0.000142167
32,16,55,0.00123949, 0.000109888
32,16,56,0.00150376, 0.000104971
32,16,57,0.0013792, 0.000194592
32,16,58,0.00137242, 0.000167391
32,16,59,0.00138273, 0.000200738
32,16,60,0.0013317, 0.00017462
32,16,61,0.00138634, 0.000210181
32,16,62,0.00126181, 0.0001224
32,16,63,0.00138144, 0.000144181
32,16,64,0.00139517, 0.000159746
32,16,65,0.00145379, 0.000171894
32,16,66,0.00138655, 0.000106109
32,16,67,0.00138779, 9.5257e-05
32,16,68,0.00139228, 0.000168857
32,16,69,0.00169113, 0.000194694
32,16,70,0.0013406, 0.000125138
32,16,71,0.00137394, 8.9603e-05
32,16,72,0.00138788, 0.000104135
32,16,73,0.00132227, 0.000138906
32,16,74,0.00148646, 0.000142332
32,16,75,0.00133302, 0.000197059
32,16,76,0.0013843, 0.000178373
32,16,77,0.00130477, 0.000127766
32,16,78,0.00139431, 8.9113e-05
32,16,79,0.00125985, 0.000191468
32,16,80,0.00139185, 0.000124395
32,16,81,0.00139443, 0.000164888
32,16,82,0.00138962, 0.000165185
32,16,83,0.00137309, 0.000115831
32,16,84,0.00138579, 0.000167188
32,16,85,0.00139785, 0.000151044
32,16,86,0.0013778, 0.00015716
32,16,87,0.00119801, 0.000118553
32,16,88,0.00151828, 0.000134387
32,16,89,0.00137487, 0.000104022
32,16,90,0.00145917, 0.000149631
32,16,91,0.00138453, 8.4585e-05
32,16,92,0.00146053, 0.00012831
32,16,93,0.0013599, 0.000184799
32,16,94,0.00137577, 0.000178143
32,16,95,0.00131526, 0.000125114
32,16,96,0.00134646, 0.000160642
32,16,97,0.00136152, 0.00019683
32,16,98,0.00138768, 0.000119046
32,16,99,0.00166109, 0.000135344
32,16,100,0.00135692, 0.000177612
