n_matrix,iteration,checksym_time,transpose_time
256,31,0.0135624,0.00107626
256,32,0.0135013,0.00101423
256,33,0.00046607,0.000982463
256,34,0.0134902,0.000984415
256,35,0.00050061,0.000998326
256,36,0.000487461,0.00101439
256,37,0.000460036,0.0014923
256,38,0.000454557,0.00151113
256,39,0.000438471,0.00151139
256,40,0.000340489,0.00120725
256,41,0.000398471,0.000902839
256,42,0.000354226,0.00101501
256,43,0.000425328,0.00105814
256,44,0.0134276,0.00105709
256,45,0.0134597,0.00100705
256,46,0.0134339,0.001121
256,47,0.0134034,0.0010383
256,48,0.000503613,0.000990248
256,49,0.000353945,0.000978516
256,50,0.000444447,0.000991821
256,51,0.000430165,0.000996945
256,52,0.000433268,0.000989902
256,53,0.000340794,0.00102789
256,54,0.000404547,0.00100736
256,55,0.000479436,0.00100727
256,56,0.000439193,0.000991669
256,57,0.000353755,0.000986905
256,58,0.000451677,0.00151304
256,59,0.000471963,0.00151455
256,60,0.000348569,0.000919503
256,61,0.000448412,0.00100515
256,62,0.000436384,0.001015
256,63,0.000458546,0.00148772
256,64,0.000444229,0.00105691
256,65,0.000420322,0.00104511
256,66,0.000410782,0.00131855
256,67,0.0135283,0.00103145
256,68,0.000497838,0.00106556
256,69,0.000465613,0.00151771
256,70,0.000457083,0.00147153
256,71,0.000348664,0.00140052
256,72,0.000446179,0.00143146
256,73,0.000526163,0.00106588
256,74,0.000360307,0.00102165
256,75,0.000362138,0.00150947
256,76,0.000399816,0.000898349
256,77,0.000456526,0.00112383
256,78,0.0134631,0.00104864
256,79,0.00844989,0.00100552
256,80,0.000442492,0.00101374
256,81,0.000428849,0.00426621
256,82,0.000496272,0.00159948
256,83,0.000349549,0.00467294
256,84,0.000462766,0.00173207
256,85,0.013376,0.00129502
256,86,0.000383666,0.00439398
256,87,0.000424447,0.00110972
256,88,0.000439628,0.000994413
256,89,0.000461654,0.000997734
256,90,0.000341062,0.00101538
256,91,0.000433914,0.00100743
256,92,0.000421025,0.000986414
256,93,0.0134177,0.00127328
256,94,0.000469475,0.00127835
256,95,0.0134378,0.00154648
256,96,0.0134369,0.00145137
256,97,0.000321448,0.00136852
256,98,0.0003278,0.00160361
256,99,0.000322427,0.00128366
256,100,0.0133676,0.00127723
512,1,0.00142229,0.00335529
512,2,0.00141196,0.00333297
512,3,0.0014154,0.00346228
512,4,0.00136585,0.00316949
512,5,0.00132575,0.00299049
512,6,0.00140195,0.00304258
512,7,0.00138971,0.00306307
512,8,0.00142879,0.00306824
512,9,0.00141481,0.00354731
512,10,0.00198287,0.00565845
512,11,0.00148938,0.0051834
512,12,0.00244041,0.00398414
512,13,0.00150879,0.00382515
512,14,0.00150376,0.00337098
512,15,0.00144975,0.00545946
512,16,0.0024256,0.0196717
512,17,0.00248739,0.0200032
512,18,0.00147312,0.00570215
512,19,0.00155507,0.00578192
512,20,0.00239596,0.00395756
512,21,0.00238348,0.00405849
512,22,0.00163993,0.00408718
512,23,0.00246061,0.0170916
512,24,0.00247362,0.0198773
512,25,0.00243023,0.0197284
512,26,0.00149343,0.00505021
512,27,0.0024734,0.0175067
512,28,0.00244274,0.00424657
512,29,0.00242349,0.0170665
512,30,0.00140949,0.00333389
512,31,0.00141871,0.0031318
512,32,0.00220272,0.0180334
512,33,0.0016715,0.00403734
512,34,0.00270983,0.0172098
512,35,0.00157879,0.00605778
512,36,0.00160373,0.00768001
